Category,Perk,Race,Rank,Description,FormID
Strength,Arms Keeper,"Human, Ghoul",1,Your weapons weigh 50% less.
Strength,Arms Keeper,"Human, Ghoul",2,Your weapons weigh 75% less.
Strength,Bandolier,"Human, Ghoul",1,Ballistic weapon ammo weighs 45% less.
Strength,Bandolier,"Human, Ghoul",2,Ballistic weapon ammo weighs 90% less.
Strength,Barbarian,"Human, Ghoul",1,Gain Damage Resistance based on your STR. Doubled when not wearing armor.
Strength,Basher,"Human, Ghoul",1,Gun bashing does +25% damage and +35% limb damage.
Strength,Basher,"Human, Ghoul",2,Gun bashing does +50% damage and +75% limb damage.
Strength,Bear Arms,"Human, Ghoul",1,Each stack of Bullet Storm increases your bash damage by 5%.
Strength,Blocker,"Human, Ghoul",1,Block 15% more damage from your opponents' melee attacks.
Strength,Blocker,"Human, Ghoul",2,Block 20% more damage from your opponents' melee attacks.
Strength,Blocker,"Human, Ghoul",3,Block 25% more damage from your opponents' melee attacks.
Strength,Blood Luster,"Human, Ghoul",1,Your bleed effects have 35% more damage and 25% less duration.
Strength,Bringing the Big Guns,"Human, Ghoul",3,Your Bullet Storm stack limit is doubled.
Strength,Bullet Storm,"Human, Ghoul",1,Gain 3% damage per 30 ammo spent. 10 max stacks.
Strength,Bullet Storm,"Human, Ghoul",2,Gain 6% damage per 30 ammo spent. 10 max stacks.
Strength,Bullet Storm,"Human, Ghoul",3,Gain 9% damage per 30 ammo spent. 10 max stacks.
Strength,Easy Target,"Human, Ghoul",1,+25% ranged damage to crippled targets.
Strength,Easy Target,"Human, Ghoul",2,+50% ranged damage to crippled targets.
Strength,Easy Target,"Human, Ghoul",3,+75% ranged damage to crippled targets.
Strength,Full Charge,"Human, Ghoul",1,Sprinting in Power Armor consumes half as much Fusion Core energy.
Strength,Full Charge,"Human, Ghoul",2,Sprinting in Power Armor consumes no extra Fusion Core energy.
Strength,Heavy Hitter,"Human, Ghoul",3,Melee weapons deal +25% power attack damage. (No Power Tools)
Strength,Incisor,"Human, Ghoul",1,Your Melee and Fists weapons ignore 25% of your target's armor.
Strength,Incisor,"Human, Ghoul",2,Your Melee and Fists weapons ignore 50% of your target's armor.
Strength,Incisor,"Human, Ghoul",3,Your Melee and Fists weapons ignore 75% of your target's armor.
Strength,Iron Fist,"Human, Ghoul",1,Your Fists deal more damage based on your DR.
Strength,Knee-Capper,"Human, Ghoul",2,Melee weapons deal +50% limb damage. (No Power Tools)
Strength,Lock and Load,"Human, Ghoul",2,You keep half of your Bullet Storm stacks when you reload. +1% reload speed per stack.
Strength,Love the Spread,"Human, Ghoul",2,Weapons that fire 3 or more projectiles gain 30% range.
Strength,Martial Artist,"Human, Ghoul",1,"Your melee weapons weigh 20% less, and you can swing them 10% faster."
Strength,Martial Artist,"Human, Ghoul",2,"Your melee weapons weigh 40% less, and you can swing them 20% faster."
Strength,Martial Artist,"Human, Ghoul",3,"Your melee weapons weigh 60% less, and you can swing them 30% faster."
Strength,Natural Stance,"Human, Ghoul",1,"While equipping a melee weapon, reduce Incoming Stagger by 25%."
Strength,Ordnance Express,"Human, Ghoul",1,Explosives weigh 45% less.
Strength,Ordnance Express,"Human, Ghoul",2,Explosives weigh 90% less.
Strength,Pack Rat,"Human, Ghoul",1,The weight of all junk items is reduced by 50%.
Strength,Pack Rat,"Human, Ghoul",2,The weight of all junk items is reduced by 75%.
Strength,Pain Train,"Human, Ghoul",1,Damage and stagger enemies by sprinting into them with Power Armor.
Strength,Pain Train,"Human, Ghoul",2,Smash and stagger enemies by sprinting into them with Power Armor.
Strength,Pain Train,"Human, Ghoul",3,Devastate and stagger enemies by sprinting into them with Power Armor.
Strength,Portable Power,"Human, Ghoul",1,+10% movement speed while wearing Power Armor.
